id,period,yield
180,200009,0.12
180,200010,-0.2
180,200011,1.01
180,200012,0.82
209,200006,1.35
209,200007,0.19
209,200008,0.81
209,200009,0.03
209,200010,-0.68
209,200011,0.89
209,200012,0.29
214,200006,0.92
214,200007,0.47
214,200008,0.72
214,200009,-0.02
214,200010,-0.5
214,200011,0.78
214,200012,0.41
657,200001,0.0
657,200002,0.0
657,200003,0.0
657,200004,0.0
657,200005,0.0
657,200006,0.0
657,200007,0.0
657,200008,0.0
657,200009,0.0
657,200010,0.0
657,200011,0.0
657,200012,0.0
659,200001,
659,200002,
659,200003,
659,200005,
660,200001,
660,200002,
660,200003,
660,200004,
660,200005,
661,200001,
661,200002,
661,200003,
661,200004,
661,200005,
662,200001,
662,200002,
662,200003,
662,200004,
662,200005,
664,200001,
664,200002,
664,200003,
664,200004,
664,200005,
664,200007,
665,200001,-0.24
665,200002,1.41
665,200003,0.67
665,200004,-0.67
665,200005,3.72
665,200006,-0.91
665,200007,-0.74
665,200008,0.93
665,200009,0.38
665,200010,-1.64
665,200011,0.52
665,200012,0.55
666,200001,0.0
666,200002,0.0
666,200003,0.0
666,200004,0.0
666,200005,0.0
666,200006,0.0
666,200007,0.0
666,200008,0.0
666,200009,0.0
666,200010,0.0
666,200011,0.0
666,200012,0.0
667,200001,0.0
667,200002,0.0
667,200003,0.0
667,200004,0.0
667,200005,0.0
669,200001,
669,200002,
669,200003,
669,200004,
669,200005,
670,200001,
670,200002,
670,200003,
670,200004,
670,200005,
671,200001,
671,200002,
671,200003,
671,200004,
671,200005,
131,200101,0.65
131,200102,-0.39
131,200103,-0.1
131,200104,0.93
131,200105,1.16
131,200106,1.36
131,200107,0.71
131,200108,0.22
131,200109,0.08
131,200110,0.63
131,200111,0.88
131,200112,1.65
141,200101,0.86
141,200102,0.08
141,200103,0.11
141,200104,0.91
141,200105,1.26
141,200106,0.88
141,200107,0.77
141,200108,0.91
141,200109,0.44
141,200110,0.37
141,200111,0.57
141,200112,0.97
156,200101,0.33
156,200102,0.05
156,200103,0.37
156,200104,1.08
156,200105,1.16
156,200106,0.99
156,200107,0.88
156,200108,0.35
156,200109,0.03
156,200110,0.62
156,200111,0.91
156,200112,1.36
162,200101,0.4
162,200102,0.13
162,200103,0.1
162,200104,1.15
162,200105,1.37
162,200106,0.9
162,200107,0.95
162,200108,0.54
162,200109,0.36
162,200110,0.5
162,200111,0.65
162,200112,1.16
163,200101,-0.14
163,200102,-0.17
163,200103,0.6
163,200104,1.13
163,200105,0.93
163,200106,0.91
163,200107,0.54
163,200108,0.96
163,200109,0.87
163,200110,0.78
163,200111,0.5
163,200112,1.67
164,200101,0.66
164,200102,0.16
164,200103,0.64
164,200104,1.01
164,200105,1.46
164,200106,0.95
164,200107,0.84
164,200108,0.66
164,200109,0.7
164,200110,0.31
164,200111,0.57
164,200112,1.19
165,200101,1.24
165,200102,-1.08
165,200103,-0.04
165,200104,0.86
165,200105,1.12
165,200106,0.93
165,200107,0.82
165,200108,0.4
165,200109,0.17
165,200110,0.6
165,200111,0.69
165,200112,0.82
166,200101,0.6
166,200102,0.16
166,200103,0.38
